Nepali_Text,binary_label
भाक भोसडीके,1
पिक्चर स्पीक्स वाक मुजी,1
हे मुजी....,1
लस्तैइ ह्यान्डसम के मुजी 🤣❤️❤️❤️,1
आयो एमजी को कडा पर्सुस्तति♥️♥️♥️,1
दाजु बे लाइक :- केरा हेरो भाको होस भेट्लास,1
हे वास सेइङ घण्टा 😁😁,1
बोका🤣😂🤣,1
आईएफ चुटिइया ठगुवा हद आ फेस 😆😂,0
"काण्ड नि हर्क्सु 
क्ति को बी र तिग्रा नि हर्क्सु 
थोरै थोरै सेक्स एजुकेशन नि एक्सए मा सँग 
आमा लाई वाट पाक्यो वानर्व सोडक्सु पानी 
अनि जस्टिस नि म्याग्सु...
#जस्टिसफरनिर्मलापन्त",1
बस कर पगले ...रुलायेगा क्या 😭😭,0
टिकटक मा फलोज काटे पुगा एक्सए 🤣🤣🤣,0
जिन्दगीमा भेज म:म पनि मिठो मानेर खाने दिन आयो😂😆😅,1
आर्य भाइ मेरा जैसा बाल कुन राख्था ही.😮,1
नेत्र सीएआर-के  डेड🤣🤣,0
महरा दाईलाई ज्ञान दिने मान्छे यही हो । जी जी भन्न सिकाएर मु नै बनाए महरा दाईलाई 😆😆😆,1
ह्वेन योउ बाइ बिशाल गौतम फ्रम रत्नपार्क😎😂😂,0
हा-हा सस्ता वाला बिशाल गौतम इन थे हाउस है गैछ😂🔥😂✊,0
ला येता हेरुम गैस😂😂,0
गाइच यो कुन संस्कृत सब्द वन्द को फोटो हो पत्ता लाउनी लाई सुरे स्वोर्ग को नागरिकता जेसस को नाम मा🤣😂,0
लव रियाक्ट वन्द ता धेरै हाहा रियाक्ट हुन्च दै #स्तयहाहा🤣,0
कपाल काट्ने पैसा नवयेपक्सी को अवस्था😂,0
बोब मार्ली इन थे हाउस 😂,0
तपाईं जुन रुपले प्रस्तुति हुन खाेज्नु भयाे नि याे रचनात्मक मा कसम वा 👏👏👏😂😂😂,1
टिक टोक स्टार भिजुअल गुटम😂😂😂,0
इ क्यान हियर थिस् पिक्चर 😂❤,1
भोजपुरी फिल्म को हेरो 🤩,0
शिट्ट😂,0
दाजु हजुर को अनुहार पानी कमेडियन जस्तो रेक्सा. स्टान्ड-उप कमेडी गर्नु एनडब्लु😊,0
ओए.... थोप्दा हेर्न येसको थोप्दा..... 🤣🤣🤣🤣,0
मुजि भन्नलाई मात्र जन्मेको एउटा सेक्सी गाइच्😏☺️,1
थात'स् थे फकिङ मुगी है गाइच,0
#जस्टिसफरनिर्मला,0
#जस्टिफरनिर्मला,0
#जस्टिसफरनिर्मलापन्त,0
"योउ क्यान'टी स्टप यूएस 
#जस्टिसफरनिर्मला",0
लाइफ दमागे😂,0
कडा दाज्जु ❣️❣️😂,0
बिग फान्स दाजु😂😂❤🥰🤟,0
थिस् इस फकिङ बिशाल गौतम है गाइच🤣🤣,0
ला म्याआ😆,0
डम्मी,0
हाहा✋😆😆,0
स्कुल मिस हुन्क्सा😍😎😎,0
ह्यान्डसम काका❤,0
हाहा गाइच💗,0
"ह्वेन योउ बाइ मोम मार्ली फ्रम रत्नपार्क है गाइच😹

कीप लविङ है हाहा😁😆",0
ह्यानक्सम जैना है गाइच यो मान्क्सा😂😂,0
हाहागाइस ♥️🖤🖤,0
रारी का बन वन्न खोज्दै थ्यो होला गाइच ले😜😜,0
लाआ लोव बज सिमरन पाण्डे 😂,0
दामी दामी🎉🎉,0
हाहा रियाक्ट किना थोरै भनेको ता पेज मा रेक्सा नि गाइच 😂,0
हाहा गैस📷✋,0
टिकटक सेलिब्रिटी ☺😂,0
हेरो डा❤🔥✌,0
मल्टिटेलेन्टेड,0
अय्यिइ रण्डीकोबन,1
केएसली पाचक हानो फेरी 🙈🔥🔥,0
ए बिसाले😂😂,0
मुजिले दिन दिनै मटन को भिडियो किन हाल्छ भन्या त 🤣 रिजन बल्ल थाहा भयो 😁😂 ! सप्लायर दर्है रै'छ नि !,1
